drug,disease
erythromycin stinoprate,Mycoplasma Infections
citrate,Nephrolithiasis
clavulanic acid,Acute bacterial sinusitis
moroxydine,Influenza
meglumine antimoniate,Chemotherapy-induced nausea and vomiting
vitamin A,"Tuberculosis, Pulmonary"
carbamazepine,Diabetes Insipidus
olaratumab,Soft Tissue Sarcoma
chlorthalidone,Nephrotic Syndrome
phenol,"Pain, Intractable"
spironolactone,Hyperkalemia
phenacemide,Epilepsy characterized by intractable complex partial seizures
dipyridamole,Cerebrovascular accident
aspirin,Physicians
riluzole,Generalized Anxiety Disorder
lamotrigine,Drug Overdose
griseofulvin,"Onychomycosis, Toenail"
amitriptyline,Mental Depression
thiotepa,Primary central nervous system lymphoma
emvododstat,"Leukemia, Myelocytic, Acute"
albendazole,Cysticercus cellulosae
haloperidol,Malaise
dexamethasone,Macular edema due to diabetes mellitus
lithium carbonate,Fever
amikacin,Central Nervous System Infection
leuprolide acetate,Mammary Neoplasms
inebilizumab,Neuromyelitis Optica
dexbrompheniramine,"Rhinitis, Allergic, Perennial"
Pentostam,"Leishmaniasis, Visceral"
cefuroxime,Streptococcal tonsillitis
methotrexate,Eczema
pembrolizumab,Microsatellite Instability
lamivudine,"Hepatitis, Chronic"
acitretin,Congenital Nonbullous Ichthyosiform Erythroderma
fenofibrate,"Diabetes Mellitus, Non-Insulin-Dependent"
iloprost,Chronic Limb-Threatening Ischemia
norepinephrine,Rectal temperature
sulfur,Rosacea
nitroglycerin,Acute myocardial infarction
testosterone,Mesocricetus auratus
epinephrine,Heart failure
atropine / diphenoxylate,Diarrhea
cefonicid,Streptococcal pneumonia
mycophenolate mofetil,Pemphigus Foliaceus
kojic acid,Chloasma
dibucaine,Local Anesthesia
trisodium edetate,Hypercalcemia
etoposide,Adrenocortical carcinoma
dinoprost,Purulent vaginal discharge
tranexamic acid,Hemorrhagic Disorders
dexamethasone,Tinnitus
cefdinir,Streptococcal tonsillitis
iodixanol,Cerebral Arteriography
pazopanib,Hemangiosarcoma
prednisolone,Autoimmune hemolytic anemia
insulin detemir,"Diabetes Mellitus, Insulin-Dependent"
norepinephrine,Tachycardia
dexamethasone sodium phosphate,leukemia
mometasone furoate,Pruritus
glucose,Dehydration
epinephrine,Obstruction
cisplatin,Cutaneous Melanoma
timolol,"Glaucoma, Open-Angle"
belladonna alkaloids,Menopause
etoposide,Squamous cell carcinoma
dihydrotachysterol,Hypoparathyroidism
acetate,Ruminants
belzutifan,Renal Cell Carcinoma
onabotulinumtoxinA,Crow's Feet
ethanol,"Bone Cysts, Aneurysmal"
ataluren,"Muscular Dystrophy, Duchenne"
quinacrine,"Leukemia, Myelocytic, Acute"
pamidronate,Osteolysis
propranolol,Asthma
estradiol,Pulmonary Hypertension
adenosine,Rheumatoid Arthritis
edaravone,Cardioembolic Stroke
vincristine sulfate,Nephroblastoma
trimetazidine,Angina Pectoris
"insulin isophane, beef-pork",Hyperglycemia
carvedilol,Myocardial Infarction
oxygen,Hyperoxia
ephedrine,Systemic arterial pressure
influenza A virus A/Darwin/11/2021 (H3N2) antigen,"Influenza A Virus, H3N2 Subtype"
methylprednisolone acetate,"Dermatitis, Atopic"
epigallocatechin gallate,Cardiotoxicity
fluticasone,Dermatologic Lesion
cyclophosphamide lyophilized,Myasthenia Gravis
urea,Uremia
beta-carotene,Vitamin A Deficiency
cefazolin,Bacterial Endocarditis
Carbapenems,"Pneumonia, Ventilator-Associated"
doxorubicin liposomal,Kaposi's Sarcoma
dexamethasone,Dermatologic disorders
metronidazole hydrochloride,"Meningitis, Bacterial"
allopurinol,Kidney Diseases
fluocinonide,Lichen Simplex Chronicus
perampanel,Amyotrophic Lateral Sclerosis
cloxacillin benzathine,"Pneumonia, Bacterial"
gemcitabine,Hemolytic-Uremic Syndrome
vincristine,Neuropathy
metronidazole,"Liver Abscess, Amebic"
trametinib,Thyroid Cancer
Gentamicins,Urinary tract infection
pyronaridine,"Malaria, Vivax"
crizotinib,Renal cyst
tigecycline,Klebsiella pneumoniae
pirarubicin,Malignant neoplasm of urinary bladder
"ibuprofen, sodium salt",Bursitis
pirbuterol,Bronchospasm
phenazopyridine,Urological Manifestations
haemophilus b conjugate (prp-omp) vaccine,Haemophilus influenzae Prophylaxis
Honvan,Prostate carcinoma
doxorubicin,Recurrent Childhood Glioblastoma
cyclophosphamide,"Malignant melanoma, metastatic"
colesevelam,"Diabetes Mellitus, Non-Insulin-Dependent"
eflornithine hydrochloride,Hypertrichosis
edetic acid,Diabetic
pyrilamine maleate,Allergic Conjunctivitis
ethanol,inpatient
methadone,hepatitis C virus
cabotegravir,HIV
bismuth subgallate,Diarrhea
corticotropin,Myasthenia Gravis
dexamethasone,Senility
cyclosporine,Hyperglycemia
raltitrexed,Liver carcinoma
sodium iodide,Burn injury
regorafenib,Colorectal Cancer
orphenadrine,Muscle Cramp
"insulin lispro protamine, human",Hyperglycemia
metronidazole,Hepatic Encephalopathy
venlafaxine,Bulimia
pomalidomide,Refractory Plasma Cell Neoplasm
water,Legionella
osimertinib,Metastatic malignant neoplasm to bone
losartan,"Sleep Apnea, Obstructive"
memantine,Ischemic stroke
prednisolone,Spasm
perflunafene,Retinal Detachment
rosuvastatin,Diabetic
phenylephrine hydrochloride,Pruritus Ani
kanamycin sulfate,Acinetobacter Infections
amphotericin b lipid complex,Histoplasmosis
paclitaxel,High grade serous carcinoma
nicotine,Colitis
candesartan,Diabetic
pramoxine,Tinea cruris
amoxapine,Psychophysiologic Disorders
mifepristone,Alcohol Use Disorder
talc,"Pleural Effusion, Malignant"
anti-inhibitor coagulant complex,Hemophilia B
betamethasone,Erythema Multiforme
ketamine,Chronic pain
Antiemetic [EPC],Vomiting
methylprednisolone,Swelling
azithromycin,Mycoplasma Pneumonia
streptomycin,Acute tuberculosis
prednisolone,Pure Red-Cell Aplasia
carbamazepine,Aggressive behavior
cefotaxime,CNS Infection
melatonin,Did not receive therapy or drug for
aspirin,Ischemic stroke
"amiloride hydrochloride, anhydrous",Heart failure
Atrovent,Asthma
triamcinolone acetonide,Retinal Vein Occlusion
lisinopril,"Ventricular Dysfunction, Left"
nadolol,Supraventricular tachycardia
terbutaline,Bronchitis
testosterone enanthate,Hormone receptor positive malignant neoplasm of breast
levamisole,Nematode infections
penicillin G,Botulism
amphotericin b lipid complex,Leishmaniasis
testosterone,Hypoactive Sexual Desire Disorder
tannic acid,Internal hemorrhoids
phenothiazine,Agranulocytosis
delavirdine,HIV Infections
corticotropin,Lennox syndrome
tamoxifen,Glioblastoma
soybean preparation,Hypersensitivity
abacavir,Atrial Fibrillation
eltrombopag,MYELODYSPLASTIC SYNDROME
troleandomycin,Staphylococcal Infections
cyclosporine,Evans syndrome
doxycycline hyclate,Relapsing Fever
valproate,Schizophrenia
linezolid,Peritonitis
pheniramine,Dermatographic urticaria
cycloserine,Tuberculosis
temozolomide,melanoma
penicillin g potassium,"Fusospirochetosis, Trench Mouth"
clindamycin,Bacterial Vaginosis
tiopronin,Rheumatoid Arthritis
piperacillin,Gonorrhea
cidofovir,"Cystitis, Hemorrhagic"
vinblastine,Kidney Neoplasm
Steroids,Sarcoidosis
clarithromycin,Acute bacterial bronchitis
methylprednisolone,Graves Ophthalmopathy
curcumin,Insulin Sensitivity
pentamidine,Pneumocystis Pneumonia Prophylaxis
olopatadine,Seasonal Allergic Conjunctivitis
somatostatin,Diabetes
corticotropin,Falls
mequinol,Lentigo
methylprednisolone,Edema
ascorbic acid,Camels
atorvastatin,"Hematoma, Subdural, Chronic"
daptomycin,Methicillin-Resistant Staphylococcus Aureus Infection
esmolol,Heart failure
niclosamide,Ovarian Carcinoma
betamethasone acetate,Cerebral Edema
metformin,"Diabetes, Type 2"
vinorelbine,Malignant neoplasm of lung
candesartan,Heart failure
cyclophosphamide lyophilized,Burkitt Lymphoma
amiodarone,Rapid atrial fibrillation
methotrexate,Polyarthritis
pamidronate,Bone Diseases
cephalexin,Osteomyelitis caused by Staphylococcus aureus
pterostilbene,Malignant neoplasm of prostate
Oxidopamine,Nervousness
fasudil,Pulmonary Hypertension
cilnidipine,Systemic arterial pressure
clarithromycin,Haemophilus Infections
pranlukast,Allergic rhinitis (disorder)
epirubicin,Advanced cancer
vincristine,Malignant neoplasm of stomach
methylprednisolone,Acute lymphocytic leukemia
glycerin,Diabetic
fluorouracil,Cervical Cancer
cefepime,Urinary tract infection caused by Klebsiella
acetylcysteine amide,Pneumonia
Opioids,Crisis
methylprednisolone sodium succinate,Asthma
levomenthol,Pruritus
loteprednol,Viral Conjunctivitis
dothiepin hydrochloride,Depressive disorder
ceftriaxone sodium,Clostridium Infections
aluminum potassium sulfate,Hemorrhoids
zinc,Diabetes Mellitus
epoetin alfa,Wounds and Injuries
pentamidine,HIV Infections
flumazenil,Benzodiazepine Overdose
Ara-C,"Leukemia, Myelocytic, Acute"
cyproheptadine,"Paraparesis, Spastic"
vinblastine,Carcinoma breast stage IV
fosinopril sodium,Diabetic Nephropathy
tinzaparin sodium,Pulmonary Embolism
cyclosporine,Chronic Spontaneous Urticaria
droperidol,Nausea
bleomycin,Classical Hodgkin's Lymphoma
vitamin A,Malignant neoplasm of lung
tretinoin,Xerophthalmia
roflumilast,Psoriasis
elacestrant,HER2/Neu Negative
valganciclovir,CMV Prophylaxis
paraldehyde,Seizures
nicomorphine,"Pain, Postoperative"
hesperidin,Liver Dysfunction
chlorpheniramine,Allergic Reactions
rutin,Postphlebitic Syndrome
estrogens,Aggressive behavior
norethindrone,Uterine hemorrhage
fluocinonide,Inflammatory dermatosis
zonisamide,Obesity
bisoprolol,Supraventricular Tachycardia
propranolol,Akathisia
piperine,Vitiligo
doxorubicin,Hodgkin's Lymphoma
Fosamax,Osteoporosis
testosterone cypionate,Deficiency of testosterone biosynthesis
ceftazidime,Ventilator-associated lung injury
ketoconazole,Precocious Puberty
doxycycline hyclate,Acne
ligustrazine,Impaired cognition
Peptide YY,Prader-Willi Syndrome
relebactam,Pseudomonas gastrointestinal tract infection
etoposide,melanoma
hydrocortisone cypionate,Rheumatism
desoximetasone,Psoriasis of scalp
cannabidiol,Mood Disorders
cabergoline,Diabetes Mellitus
trioxsalen,Vitiligo
ethotoin,Epilepsy
epoprostenol,Rhinorrhea
brivaracetam,Drug Resistant Epilepsy
vorinostat,"Lymphoma, T-Cell, Cutaneous"
pioglitazone,Myocardial Infarction
cetirizine,Pruritus
atenolol,Hypertrophic Cardiomyopathy
buserelin,Malignant neoplasm of prostate
enasidenib,"Leukemia, Myelocytic, Acute"
tramadol,"Pain, Postoperative"
metronidazole,Infected
cefepime,Urinary tract infection
corticotropin,Seizures
abaloparatide,Osteoporosis
erythromycin,Pneumonia
ofloxacin,Anthrax
ivermectin,Rosacea
hydrocortisone,Exanthema
Histone deacetylase inhibitor,Friedreich Ataxia
morphine,Breakthrough Pain
carvedilol,Ejection fraction (procedure)
busulfan,Neuroblastoma
sotalol,Chronic atrial fibrillation
doxycycline hyclate,Periodontitis
hydrocortisone,Skin Rash
Erythropoietin,Cerebral Palsy
ondansetron,Postoperative Nausea and Vomiting
favipiravir,Pneumonia caused by SARS-CoV-2
ascorbic acid,Liver Cirrhosis
nalbuphine hydrochloride,"Pain, Postoperative"
"N,N-dimethylarginine",Hypertensive (finding)
"2,4-thiazolidinedione",Insulin Sensitivity
stevioside,Insulin Resistance
prednisolone sodium phosphate,"Tuberculosis, Pulmonary"
codeine / guaifenesin,Cough
prednisolone,Adrenal cortical hypofunction
lepirudin,Thrombocytopenia
phenobarbital,"Seizures, Focal"
paclitaxel,Endometrial Carcinoma
glucose,Knock-out
haloperidol,Dystonia
memantine,"Depression, Bipolar"
Steroids,Vulvar Lichen Sclerosus
azacitidine,beta Thalassemia
cisplatin,Stress
chlorpromazine,Attention Deficit and Disruptive Behavior Disorders
ferrous sulfate,Anemia Associated with Chronic Renal Failure
pamidronate,Osteolytic Bone Lesions of Multiple Myeloma
ethanol,Opiate Addiction
capsaicin,Diabetic Peripheral Neuropathy
cabozantinib,Osteosarcoma
physostigmine,Delirium
phenol,Cancer Pain
sodium chloride,Head Lice
cyclophosphamide,Lupus Nephritis
kanamycin A,Acinetobacter Infections
clonidine hydrochloride,Substance Withdrawal Syndrome
ciprofloxacin hydrochloride,Otitis Externa
ciprofloxacin lactate,Fever
levetiracetam,"Seizures, Focal"
arginine,Heart failure
docetaxel,Carcinomatosis
tinidazole,Amebic colitis
alfacalcidol,Bone Diseases
perphenazine,Psychotic Disorders
hydroxychloroquine,"Malaria, Vivax"
oxycodone,Visceral Pain
sodium iodide,Nonpenetrating Wounds
sildenafil,Lower Urinary Tract Symptoms
potassium iodide,Common Cold
simvastatin,Arterial Fatty Streak
estradiol,Llamas
estrogens,Brain Injuries
noxythiolin,Infective cystitis
rituximab-pvvr,Lymphoid leukemia
"enkephalin-Leu, Ala(2)-Arg(6)-",Peptic Ulcer
triamcinolone hexacetonide,Foot Dermatoses
sirolimus,Non-Small Cell Lung Carcinoma
methyltestosterone,Testicular hypogonadism
"heparin sodium, porcine",Myocardial Infarction
cycloserine,Chronic tuberculosis
fenofibrate,Obesity
phenylephrine,Allergic Conjunctivitis
gentamicin,Septicemia
methotrexate,Pityriasis Rubra Pilaris
eplerenone,Gynecomastia
flurandrenolide,Exanthema
cefoxitin,"Pregnancy Complications, Infectious"
abatacept,Juvenile Idiopathic Arthritis
metronidazole benzoate,Amebiasis
cefepime,"Skin Diseases, Bacterial"
gentamicin sulfate,Soft Tissue Infection
moxetumomab pasudotox-tdfk,Hairy Cell Leukemia
ethanol,Atherosclerosis
sodium bicarbonate,Urinary Alkalinization
testosterone,African American
saquinavir,HIV Infections
docetaxel,Advanced cancer
salicylate,Mucocutaneous Lymph Node Syndrome
natamycin,Trichomonas Vaginitis
cefoxitin,Streptococcal pneumonia
cyacetacide,Tuberculosis
rivaroxaban,Obesity
megestrol acetate,Cachexia
isoniazid,Latent Infection
Endothelin receptor antagonist,Pulmonary Hypertension
fluorouracil,Keratosis
isosorbide dinitrate,Angina Pectoris Prophylaxis
arsenic,Acute Promyelocytic Leukemia
vitamin A,"Diabetes Mellitus, Non-Insulin-Dependent"
exenatide,ST segment elevation myocardial infarction
neltenexine,"Bronchitis, Chronic"
Insulin,Physicians
daridorexant,Sleeplessness
pemetrexed,Primary central nervous system lymphoma
atracurium,Absence of sensation
cyclosporine,Senile Plaques
levocarnitine,Heart Diseases
isoproterenol,Hypertrophic Cardiomyopathy
phenytoin,Seizure Prophylaxis During or Following Neurosurgery
thiothixene hydrochloride,Schizophrenia
oxymetazoline,Nasal congestion (finding)
nicotine,Households
adalimumab,Spondyloarthritis
adenosine,Tachycardia
levothyroxine,Dwarfism
carboplatin,Squamous cell carcinoma of the head and neck
metronidazole,Bacterial Vaginitis
fluocinolone,"Dermatitis, Atopic"
trastuzumab,Gastrointestinal Neoplasms
lenalidomide,Amyloidosis
vitamin A,Severe Acute Malnutrition
vitamin E,"Diabetes Mellitus, Non-Insulin-Dependent"
acetylcholine,Congestive heart failure
chlorhexidine,Gram-Positive Bacterial Infections
medroxyprogesterone,Endometriosis
resveratrol,Hypoxia
indirubin,Psoriasis
fusidic acid,Bacterial urinary infection
olaparib,Recurrent ovarian cancer
methotrexate,Lung diseases
imiquimod,Skin Nodular Basal Cell Carcinoma
methotrexate,Neoplastic Diseases
"diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",Tetanus Prophylaxis
gluconolactone,Urinary bladder stone (disorder)
calcitriol,Renal Osteodystrophy
cyclophosphamide anhydrous,Rhabdomyosarcoma
glycyrrhizic acid,Liver diseases
metoprolol,Infarction
simvastatin,Stress
methylprednisolone sodium phosphate,"Lupus Erythematosus, Systemic"
aminophylline,"Kidney Failure, Acute"
Challenge,Parasitic Diseases
Zoladex,Malignant neoplasm of prostate
iohexol,Urography
cefotaxime,Kidney Infections (Pyelonephritis)
pindolol,Myocardial Infarction
prednisolone,Hamman-Rich syndrome
cefotetan,Streptococcal Infections
fluoxetine,Vulvodynia
cimetidine,Laryngopharyngeal Reflux
diethylstilbestrol,Malignant neoplasm of prostate
buprenorphine,Depressive disorder
imatinib,"Leukemia, Myeloid, Chronic-Phase"
hydrocortisone sodium succinate,Bursitis
vancomycin,Burn injury
memantine,Impaired cognition
tegafur,Renal Cell Carcinoma
Insulin,Acute Cerebrovascular Accidents
sodium valproate,"Epilepsy, Complex Partial"
azacitidine,Refractory acute myeloid leukemia
vitamin K,Liver diseases
fusidic acid,Acute bacterial sinusitis
lorazepam,Anxiety Disorders
calcifediol,Renal Osteodystrophy
zoledronate,Bone Diseases
dexmedetomidine,"Kidney Failure, Acute"
pentoxifylline,melanoma
diazepam,Neonatal Abstinence Syndrome
ferric carboxymaltose,Hypophosphatemia
ifosfamide,Epithelial ovarian cancer
fenproporex,Obesity
vincristine,"Venereal Tumors, Veterinary"
sirolimus,Neurodegenerative Disorders
cidofovir,Smallpox Vaccine Reaction
vitamin A,Pityriasis Rubra Pilaris
afamelanotide,Prevention of Phototoxicity in Erythropoietic Protoporphyria
topotecan hydrochloride,Small cell carcinoma of lung
erythromycin,"Conjunctivitis, Bacterial"
avibactam,Pyelonephritis
cefazolin,Streptococcal Infections
prednisolone tebutate,Erythema Multiforme
ciprofloxacin,Acute bacterial peritonitis
diphenhydramine citrate,Anxiety Disorders
nelfinavir,HIV Seropositivity
methadone,Malignant Neoplasms
peginterferon alfa-2b,Melanoma
oxygen,"Kidney Failure, Chronic"
risperidone,Delusions
nesiritide,Left ventricular systolic dysfunction
pheniramine maleate,Urticaria
mitoxantrone,Acute Nonlymphocytic Leukemia
quetiapine,Chronic schizophrenia
lamivudine,Fulminant hepatitis B
fondaparinux,Hemorrhage
levothyroxine,Nodule
ceftriaxone,Klebsiella cystitis
follicle stimulating hormone,Subfertility
cyclosporine,"Lupus Erythematosus, Systemic"
gemfibrozil,Dyslipidemias
piperacillin,Acute gonococcal urethritis
docetaxel,Malignant neoplasm of breast
buspirone,"Phobia, Social"
minocycline,Scrub Typhus
rifampin,Meningitis
risperidone,Major Depressive Disorder
trastuzumab deruxtecan,Mammary Neoplasms
moxifloxacin,Gonorrhea
alteplase,Pulmonary Embolism
hypericin,Necrosis
4-aminobenzoic acid,"Pancreatitis, Chronic"
rutin,Diabetic Cardiomyopathies
droxidopa,"Hypotension, Orthostatic"
prucalopride,Chronic idiopathic constipation
tigecycline,Clostridium difficile colitis
calcium lactate,Osteoporosis
sodium chloride,Slope
diltiazem,Essential Hypertension
triamcinolone,"Lymphoma, Non-Hodgkin"
Challenge,Chronic Kidney Diseases
zoledronic acid,Primary osteoporosis
ibuprofen,Plantar Fasciitis
fenugreek seed preparation,Bronchitis
aceclofenac,Acute low back pain
dopamine,Congestive heart failure
paroxetine hydrochloride,Premature Ejaculation
dexamethasone,"Leukemia, Myelocytic, Acute"
copper,Nutritional anemia
betamethasone dipropionate,Tinea corporis (disorder)
propranolol,Stress
tretinoin,Psoriasis
glucagon,Foreign Bodies
epoprostenol,Hypertensive (finding)
dexamethasone,Premature Obstetric Labor
bacitracin zinc,Wound Infection
perazine dimalonate,Psychotic Disorders
evolocumab,Atherosclerosis
ibuprofen,Temporomandibular Joint Disorder
adefovir dipivoxil,"Hepatitis, Chronic"
chlorpheniramine,Malaria
micafungin,"Aspergillosis, Allergic Bronchopulmonary"
paroxetine,Hot Flashes
memantine,Opiate Addiction
disopyramide phosphate,Atrial Fibrillation
griseofulvin,Tinea Barbae
cefadroxil monohydrate,Bacterial Infections
clonazepam,Night Terrors
oleic acid,Stress
succinylcholine,Muscle hypotonia
